@110000 [INFO] [CMPOBJ] : cmp = 1, rd_id =          0, rd_data = 00000101, wr_id =          0, wr_data = 00000101, wr_raw_id =          0, wr_raw_data = 00000101
@2270000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         66, rd_data = 10011001, wr_id =         66, wr_data = 10011001, wr_raw_id =         66, wr_raw_data = 10011001

@2290000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         67, rd_data = 00001101, wr_id =         67, wr_data = 00001101, wr_raw_id =         67, wr_raw_data = 00001101

@2330000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         68, rd_data = 01101001, wr_id =         68, wr_data = 01101001, wr_raw_id =         68, wr_raw_data = 01101001

@2350000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         69, rd_data = 01101101, wr_id =         69, wr_data = 01101101, wr_raw_id =         69, wr_raw_data = 01101101

@2370000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         70, rd_data = 10011000, wr_id =         70, wr_data = 10011000, wr_raw_id =         70, wr_raw_data = 10011000

@2390000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         71, rd_data = 01011010, wr_id =         71, wr_data = 01011010, wr_raw_id =         71, wr_raw_data = 01011010

@2430000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         72, rd_data = 11010010, wr_id =         72, wr_data = 11010010, wr_raw_id =         72, wr_raw_data = 11010010

@2490000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         73, rd_data = 10010100, wr_id =         73, wr_data = 10010100, wr_raw_id =         73, wr_raw_data = 10010100

@2530000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         74, rd_data = 00111100, wr_id =         74, wr_data = 00111100, wr_raw_id =         74, wr_raw_data = 00111100

@2550000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         75, rd_data = 00110100, wr_id =         75, wr_data = 00110100, wr_raw_id =         75, wr_raw_data = 00110100

@2570000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         76, rd_data = 10011110, wr_id =         76, wr_data = 10011110, wr_raw_id =         76, wr_raw_data = 10011110

@2590000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         77, rd_data = 01001000, wr_id =         77, wr_data = 01001000, wr_raw_id =         77, wr_raw_data = 01001000

@2610000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         78, rd_data = 11010010, wr_id =         78, wr_data = 11010010, wr_raw_id =         78, wr_raw_data = 11010010

@2650000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         79, rd_data = 01110001, wr_id =         79, wr_data = 01110001, wr_raw_id =         79, wr_raw_data = 01110001

@2670000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         80, rd_data = 01011101, wr_id =         80, wr_data = 01011101, wr_raw_id =         80, wr_raw_data = 01011101

@2710000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         81, rd_data = 01001111, wr_id =         81, wr_data = 01001111, wr_raw_id =         81, wr_raw_data = 01001111

@2790000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         82, rd_data = 00011100, wr_id =         82, wr_data = 00011100, wr_raw_id =         82, wr_raw_data = 00011100

@2810000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         83, rd_data = 11001011, wr_id =         83, wr_data = 11001011, wr_raw_id =         83, wr_raw_data = 11001011

@2830000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         84, rd_data = 10000111, wr_id =         84, wr_data = 10000111, wr_raw_id =         84, wr_raw_data = 10000111

@2910000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         85, rd_data = 10111111, wr_id =         85, wr_data = 10111111, wr_raw_id =         85, wr_raw_data = 10111111

@2970000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         86, rd_data = 01101111, wr_id =         86, wr_data = 01101111, wr_raw_id =         86, wr_raw_data = 01101111

@2990000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         87, rd_data = 10011111, wr_id =         87, wr_data = 10011111, wr_raw_id =         87, wr_raw_data = 10011111

@3010000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         88, rd_data = 10001011, wr_id =         88, wr_data = 10001011, wr_raw_id =         88, wr_raw_data = 10001011

@3050000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         89, rd_data = 01111000, wr_id =         89, wr_data = 01111000, wr_raw_id =         89, wr_raw_data = 01111000

@3090000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         90, rd_data = 01110001, wr_id =         90, wr_data = 01110001, wr_raw_id =         90, wr_raw_data = 01110001

@3130000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         91, rd_data = 11000010, wr_id =         91, wr_data = 11000010, wr_raw_id =         91, wr_raw_data = 11000010

@3150000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         92, rd_data = 00010011, wr_id =         92, wr_data = 00010011, wr_raw_id =         92, wr_raw_data = 00010011

@3170000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         93, rd_data = 10001001, wr_id =         93, wr_data = 10001001, wr_raw_id =         93, wr_raw_data = 10001001

@3210000 [INFO] [CMPOBJ] : cmp = 1, rd_id =         94, rd_data = 10110001, wr_id =         94, wr_data = 10110001, wr_raw_id =         94, wr_raw_data = 10110001

